"","bearyear.sampled","Bear.Id","Year","Follicles","Cortisol.kit","year.sampled","year.represent","bearyear.represent","sex","age","reprostatus.represent","CORT_corrected","fFOL"
"8","W0004_2004","W0004",2004,2,2,2004,2003,"W0004_2003","F",10,"WithCubs",6.34,"2"
"11","W0004_2009","W0004",2009,2,2,2009,2008,"W0004_2008","F",15,"SolitaryF",11.02,"2"
"13","W0006_2000","W0006",2000,1,1,2000,1999,"W0006_1999","M",1,"WithMother",5.14,"1"
"14","W0007_2000","W0007",2000,1,1,2000,1999,"W0007_1999","M",1,"WithMother",4.35,"1"
"15","W0008_2000","W0008",2000,2,1,2000,1999,"W0008_1999","F",1,"WithMother",4.16,"2"
"16","W0009_2000","W0009",2000,2,1,2000,1999,"W0009_1999","M",1,"WithMother",3.52,"2"
"17","W0010_2000","W0010",2000,2,1,2000,1999,"W0010_1999","F",1,"WithMother",4.14,"2"
"18","W0010_2002","W0010",2002,2,1,2002,2001,"W0010_2001","F",3,"SolitaryF",4,"2"
"19","W0010_2003","W0010",2003,1,1,2003,2002,"W0010_2002","F",4,"SolitaryF",2.52,"1"
"20","W0010_2006","W0010",2006,2,2,2006,2005,"W0010_2005","F",7,"WithCubs",8.1,"2"
"22","W0011_2000","W0011",2000,1,1,2000,1999,"W0011_1999","M",1,"WithMother",3.52,"1"
"23","W0012_2000","W0012",2000,2,1,2000,1999,"W0012_1999","M",9,"SolitaryM",3.79,"2"
"29","W0012_2009","W0012",2009,1,2,2009,2008,"W0012_2008","M",18,"SolitaryM",17.22,"1"
"30","W0013_2000","W0013",2000,2,1,2000,1999,"W0013_1999","M",5,"SolitaryM",2.54,"2"
"34","W0013_2009","W0013",2009,1,2,2009,2008,"W0013_2008","M",14,"SolitaryM",6.58,"1"
"35","W0013_2010","W0013",2010,2,2,2010,2009,"W0013_2009","M",15,"SolitaryM",5.05,"2"
"36","W0013_2011","W0013",2011,1,2,2011,2010,"W0013_2010","M",16,"SolitaryM",13.59,"1"
"37","W0014_2000","W0014",2000,1,1,2000,1999,"W0014_1999","M",1,"WithMother",3.19,"1"
"39","W0015_2000","W0015",2000,1,1,2000,1999,"W0015_1999","F",1,"WithMother",3.43,"1"
"42","W0016_2000","W0016",2000,2,1,2000,1999,"W0016_1999","M",6,"SolitaryM",2.81,"2"
"43","W0017_2000","W0017",2000,1,1,2000,1999,"W0017_1999","M",1,"WithMother",3.52,"1"
"44","W0018_2000","W0018",2000,2,1,2000,1999,"W0018_1999","F",1,"WithMother",3.92,"2"
"45","W0018_2003","W0018",2003,2,1,2003,2002,"W0018_2002","F",4,"SolitaryF",4.57,"2"
"46","W0018_2005","W0018",2005,2,1,2005,2004,"W0018_2004","F",6,"WithCubs",5.15,"2"
"47","W0018_2007","W0018",2007,1,2,2007,2006,"W0018_2006","F",8,"WithCubs",6.87,"1"
"48","W0019_2000","W0019",2000,2,1,2000,1999,"W0019_1999","F",1,"WithMother",3.73,"2"
"49","W0020_2000","W0020",2000,2,1,2000,1999,"W0020_1999","F",1,"WithMother",4.93,"2"
"50","W0021_2000","W0021",2000,1,2,2000,1999,"W0021_1999","F",1,"WithMother",7.45,"1"
"51","W0021_2003","W0021",2003,1,1,2003,2002,"W0021_2002","F",4,"SolitaryF",3.68,"1"
"52","W0021_2003","W0021",2003,1,1,2003,2002,"W0021_2002","F",4,"SolitaryF",5.73,"1"
"53","W0022_2000","W0022",2000,1,2,2000,1999,"W0022_1999","M",1,"WithMother",12.57,"1"
"54","W0023_2000","W0023",2000,0,2,2000,1999,"W0023_1999","M",1,"WithMother",5.7,"0"
"55","W0024_2000","W0024",2000,1,1,2000,1999,"W0024_1999","M",1,"WithMother",3.98,"1"
"56","W0025_2000","W0025",2000,1,1,2000,1999,"W0025_1999","F",1,"WithMother",4.2,"1"
"60","W0101_2009","W0101",2009,0,2,2009,2008,"W0101_2008","M",11,"SolitaryM",7.84,"0"
"66","W0104_2006","W0104",2006,2,2,2006,2005,"W0104_2005","F",6,"WithCubs",11.35,"2"
"67","W0104_2010","W0104",2010,2,2,2010,2009,"W0104_2009","F",10,"WithCubs",5.64,"2"
"68","W0104_2012","W0104",2012,1,2,2012,2011,"W0104_2011","F",12,"WithCubs",9.39,"1"
"69","W0104_2015","W0104",2015,0,2,2015,2014,"W0104_2014","F",15,"WithCubs",11.16,"0"
"70","W0104_2016","W0104",2016,2,2,2016,2015,"W0104_2015","F",16,"WithCubs",8.9,"2"
"78","W0107_2007","W0107",2007,2,2,2007,2006,"W0107_2006","F",7,"WithCubs",8.71,"2"
"79","W0107_2009","W0107",2009,2,2,2009,2008,"W0107_2008","F",9,"WithCubs",12.44,"2"
"81","W0108_2009","W0108",2009,1,2,2009,2008,"W0108_2008","M",19,"SolitaryM",11.42,"1"
"84","W0109_2004","W0109",2004,1,1,2004,2003,"W0109_2003","F",10,"WithCubs",4.77,"1"
"86","W0111_2001","W0111",2001,1,1,2001,2000,"W0111_2000","M",7,"SolitaryM",3.34,"1"
"87","W0112_2001","W0112",2001,2,2,2001,2000,"W0112_2000","M",1,"WithMother",8.83,"2"
"88","W0113_2001","W0113",2001,1,2,2001,2000,"W0113_2000","M",1,"WithMother",10.46,"1"
"89","W0114_2001","W0114",2001,1,2,2001,2000,"W0114_2000","M",1,"WithMother",11.02,"1"
"90","W0115_2001","W0115",2001,1,1,2001,2000,"W0115_2000","M",1,"WithMother",3.46,"1"
"91","W0116_2001","W0116",2001,1,1,2001,2000,"W0116_2000","M",1,"WithMother",3.98,"1"
"92","W0117_2001","W0117",2001,1,1,2001,2000,"W0117_2000","F",1,"WithMother",4.97,"1"
"93","W0118_2001","W0118",2001,1,1,2001,2000,"W0118_2000","M",1,"WithMother",4.97,"1"
"94","W0119_2001","W0119",2001,2,1,2001,2000,"W0119_2000","M",1,"WithMother",4.74,"2"
"97","W0120_2003","W0120",2003,0,1,2003,2002,"W0120_2002","F",4,"SolitaryF",5.24,"0"
"108","W0208_2004","W0208",2004,2,1,2004,2003,"W0208_2003","F",3,"SolitaryF",3.46,"2"
"109","W0208_2005","W0208",2005,2,1,2005,2004,"W0208_2004","F",4,"SolitaryF",4.87,"2"
"112","W0209_2005","W0209",2005,2,1,2005,2004,"W0209_2004","F",4,"SolitaryF",3.83,"2"
"113","W0209_2007","W0209",2007,2,2,2007,2006,"W0209_2006","F",6,"WithCubs",7.97,"2"
"115","W0210_2010","W0210",2010,2,2,2010,2009,"W0210_2009","M",9,"SolitaryM",4.92,"2"
"118","W0212_2005","W0212",2005,2,1,2005,2004,"W0212_2004","F",4,"SolitaryF",5.73,"2"
"119","W0212_2006","W0212",2006,1,1,2006,2005,"W0212_2005","F",5,"SolitaryF",3.13,"1"
"120","W0212_2007","W0212",2007,2,1,2007,2006,"W0212_2006","F",6,"SolitaryF",3.82,"2"
"126","W0217_2004","W0217",2004,2,1,2004,2003,"W0217_2003","F",3,"SolitaryF",3.49,"2"
"127","W0217_2005","W0217",2005,2,1,2005,2004,"W0217_2004","F",4,"SolitaryF",4.11,"2"
"128","W0217_2006","W0217",2006,1,1,2006,2005,"W0217_2005","F",5,"SolitaryF",3.16,"1"
"131","W0217_2011","W0217",2011,1,2,2011,2010,"W0217_2010","F",10,"WithCubs",15,"1"
"132","W0217_2013","W0217",2013,1,2,2013,2012,"W0217_2012","F",12,"WithCubs",7.59,"1"
"135","W0219_2005","W0219",2005,1,1,2005,2004,"W0219_2004","F",4,"SolitaryF",5.33,"1"
"136","W0219_2010","W0219",2010,2,2,2010,2009,"W0219_2009","F",9,"SolitaryF",8.4,"2"
"137","W0219_2011","W0219",2011,1,2,2011,2010,"W0219_2010","F",10,"WithCubs",10.76,"1"
"142","W0221_2005","W0221",2005,2,1,2005,2004,"W0221_2004","F",4,"SolitaryF",4.9,"2"
"144","W0222_2005","W0222",2005,0,1,2005,2004,"W0222_2004","M",4,"SolitaryM",4.92,"0"
"148","W0226_2002","W0226",2002,1,1,2002,2001,"W0226_2001","M",11,"SolitaryM",2.77,"1"
"149","W0226_2003","W0226",2003,0,1,2003,2002,"W0226_2002","M",12,"SolitaryM",3.73,"0"
"152","W0228_2009","W0228",2009,1,2,2009,2008,"W0228_2008","M",11,"SolitaryM",7,"1"
"155","W0229_2006","W0229",2006,2,2,2006,2005,"W0229_2005","F",8,"WithCubs",8.82,"2"
"156","W0229_2009","W0229",2009,2,2,2009,2008,"W0229_2008","F",11,"WithCubs",16.75,"2"
"162","W0231_2009","W0231",2009,1,2,2009,2008,"W0231_2008","F",17,"WithCubs",8.8,"1"
"171","W0237_2004","W0237",2004,2,2,2004,2003,"W0237_2003","F",7,"WithCubs",6.57,"2"
"173","W0237_2010","W0237",2010,2,2,2010,2009,"W0237_2009","F",13,"WithCubs",16.8,"2"
"175","W0301_2003","W0301",2003,2,2,2003,2002,"W0301_2002","M",1,"WithMother",9.94,"2"
"176","W0302_2003","W0302",2003,1,2,2003,2002,"W0302_2002","M",1,"WithMother",8.86,"1"
"177","W0303_2003","W0303",2003,0,1,2003,2002,"W0303_2002","F",1,"WithMother",4.24,"0"
"178","W0303_2005","W0303",2005,0,1,2005,2004,"W0303_2004","F",3,"SolitaryF",4.54,"0"
"179","W0303_2007","W0303",2007,2,1,2007,2006,"W0303_2006","F",5,"SolitaryF",3.34,"2"
"180","W0303_2011","W0303",2011,2,2,2011,2010,"W0303_2010","F",9,"WithCubs",7.03,"2"
"181","W0303_2013","W0303",2013,1,2,2013,2012,"W0303_2012","F",11,"WithCubs",14.51,"1"
"186","W0308_2003","W0308",2003,2,2,2003,2002,"W0308_2002","M",1,"WithMother",10.3,"2"
"187","W0309_2003","W0309",2003,2,2,2003,2002,"W0309_2002","F",1,"WithMother",13.43,"2"
"188","W0310_2003","W0310",2003,0,1,2003,2002,"W0310_2002","M",1,"WithMother",5.08,"0"
"189","W0311_2003","W0311",2003,1,1,2003,2002,"W0311_2002","F",1,"WithMother",5.83,"1"
"190","W0312_2003","W0312",2003,1,1,2003,2002,"W0312_2002","M",1,"WithMother",6.66,"1"
"191","W0313_2003","W0313",2003,2,2,2003,2002,"W0313_2002","M",1,"WithMother",10.46,"2"
"192","W0314_2003","W0314",2003,1,2,2003,2002,"W0314_2002","M",1,"WithMother",9.26,"1"
"193","W0315_2003","W0315",2003,1,1,2003,2002,"W0315_2002","M",1,"WithMother",5.03,"1"
"194","W0316_2003","W0316",2003,1,1,2003,2002,"W0316_2002","M",1,"WithMother",7.1,"1"
"196","W0318_2003","W0318",2003,2,2,2003,2002,"W0318_2002","F",1,"WithMother",6.38,"2"
"197","W0319_2003","W0319",2003,1,2,2003,2002,"W0319_2002","M",1,"WithMother",10.47,"1"
"198","W0320_2003","W0320",2003,1,2,2003,2002,"W0320_2002","M",1,"WithMother",11.04,"1"
"199","W0321_2003","W0321",2003,2,2,2003,2002,"W0321_2002","M",1,"WithMother",13.53,"2"
"200","W0322_2003","W0322",2003,2,2,2003,2002,"W0322_2002","M",1,"WithMother",12.91,"2"
"206","W0326_2005","W0326",2005,2,2,2005,2004,"W0326_2004","F",12,"WithCubs",8.28,"2"
"208","W0326_2011","W0326",2011,2,2,2011,2010,"W0326_2010","F",18,"WithCubs",12.36,"2"
"211","W0401_2004","W0401",2004,1,1,2004,2003,"W0401_2003","F",1,"WithMother",4.39,"1"
"212","W0402_2004","W0402",2004,1,1,2004,2003,"W0402_2003","F",1,"WithMother",3.9,"1"
"213","W0402_2004","W0402",2004,1,1,2004,2003,"W0402_2003","F",1,"WithMother",4.35,"1"
"214","W0403_2004","W0403",2004,1,1,2004,2003,"W0403_2003","F",1,"WithMother",4.01,"1"
"215","W0404_2004","W0404",2004,1,1,2004,2003,"W0404_2003","M",1,"WithMother",3.61,"1"
"216","W0405_2004","W0405",2004,1,1,2004,2003,"W0405_2003","F",1,"WithMother",3.36,"1"
"221","W0408_2004","W0408",2004,1,2,2004,2003,"W0408_2003","M",1,"WithMother",8.66,"1"
"222","W0409_2004","W0409",2004,1,2,2004,2003,"W0409_2003","M",1,"WithMother",12.86,"1"
"223","W0410_2004","W0410",2004,1,2,2004,2003,"W0410_2003","F",1,"WithMother",12.18,"1"
"224","W0410_2006","W0410",2006,2,1,2006,2005,"W0410_2005","F",3,"SolitaryF",4.93,"2"
"225","W0410_2007","W0410",2007,2,1,2007,2006,"W0410_2006","F",4,"SolitaryF",2.78,"2"
"226","W0411_2004","W0411",2004,1,2,2004,2003,"W0411_2003","F",1,"WithMother",11.88,"1"
"227","W0411_2006","W0411",2006,0,1,2006,2005,"W0411_2005","F",3,"SolitaryF",3.43,"0"
"228","W0411_2007","W0411",2007,2,1,2007,2006,"W0411_2006","F",4,"SolitaryF",3.87,"2"
"230","W0411_2009","W0411",2009,1,2,2009,2008,"W0411_2008","F",6,"SolitaryF",8.47,"1"
"231","W0412_2004","W0412",2004,1,1,2004,2003,"W0412_2003","F",1,"WithMother",3.6,"1"
"232","W0413_2004","W0413",2004,1,1,2004,2003,"W0413_2003","M",1,"WithMother",4.22,"1"
"234","W0415_2004","W0415",2004,1,1,2004,2003,"W0415_2003","F",1,"WithMother",3.1,"1"
"235","W0415_2007","W0415",2007,2,1,2007,2006,"W0415_2006","F",4,"SolitaryF",2.6,"2"
"236","W0416_2004","W0416",2004,1,1,2004,2003,"W0416_2003","F",1,"WithMother",3.79,"1"
"237","W0416_2007","W0416",2007,2,1,2007,2006,"W0416_2006","F",4,"SolitaryF",3.02,"2"
"238","W0417_2004","W0417",2004,2,1,2004,2003,"W0417_2003","M",1,"WithMother",4.79,"2"
"239","W0418_2004","W0418",2004,2,2,2004,2003,"W0418_2003","M",1,"WithMother",8.65,"2"
"240","W0419_2004","W0419",2004,2,2,2004,2003,"W0419_2003","F",1,"WithMother",12.88,"2"
"242","W0422_2004","W0422",2004,1,2,2004,2003,"W0422_2003","F",1,"WithMother",7.75,"1"
"246","W0422_2009","W0422",2009,2,2,2009,2008,"W0422_2008","F",6,"SolitaryF",8.8,"2"
"250","W0424_2010","W0424",2010,1,2,2010,2009,"W0424_2009","M",13,"SolitaryM",6.27,"1"
"252","W0425_2006","W0425",2006,1,2,2006,2005,"W0425_2005","F",6,"WithCubs",8.33,"1"
"254","W0425_2009","W0425",2009,2,2,2009,2008,"W0425_2008","F",9,"SolitaryF",8.28,"2"
"255","W0425_2011","W0425",2011,1,2,2011,2010,"W0425_2010","F",11,"WithCubs",9.74,"1"
"256","W0425_2013","W0425",2013,1,2,2013,2012,"W0425_2012","F",13,"WithCubs",10.86,"1"
"262","W0502_2005","W0502",2005,2,1,2005,2004,"W0502_2004","M",1,"WithMother",6.43,"2"
"263","W0503_2005","W0503",2005,2,1,2005,2004,"W0503_2004","F",1,"WithMother",5.39,"2"
"264","W0503_2007","W0503",2007,2,1,2007,2006,"W0503_2006","F",3,"SolitaryF",4.61,"2"
"266","W0503_2009","W0503",2009,2,2,2009,2008,"W0503_2008","F",5,"SolitaryF",7.79,"2"
"267","W0504_2005","W0504",2005,1,2,2005,2004,"W0504_2004","F",1,"WithMother",6.23,"1"
"268","W0504_2010","W0504",2010,2,2,2010,2009,"W0504_2009","F",6,"SolitaryF",4.43,"2"
"269","W0505_2005","W0505",2005,1,1,2005,2004,"W0505_2004","F",1,"WithMother",5.83,"1"
"270","W0506_2005","W0506",2005,1,1,2005,2004,"W0506_2004","M",1,"WithMother",6.89,"1"
"271","W0507_2005","W0507",2005,2,1,2005,2004,"W0507_2004","F",1,"WithMother",5.97,"2"
"272","W0507_2007","W0507",2007,2,1,2007,2006,"W0507_2006","F",3,"SolitaryF",2.72,"2"
"274","W0507_2009","W0507",2009,1,2,2009,2008,"W0507_2008","F",5,"SolitaryF",7.54,"1"
"275","W0508_2005","W0508",2005,1,1,2005,2004,"W0508_2004","F",1,"WithMother",7.32,"1"
"277","W0510_2005","W0510",2005,1,1,2005,2004,"W0510_2004","M",1,"WithMother",7.28,"1"
"278","W0511_2005","W0511",2005,2,1,2005,2004,"W0511_2004","F",1,"WithMother",8.55,"2"
"279","W0512_2005","W0512",2005,1,2,2005,2004,"W0512_2004","M",1,"WithMother",9.14,"1"
"281","W0514_2005","W0514",2005,1,2,2005,2004,"W0514_2004","M",1,"WithMother",11.56,"1"
"282","W0515_2005","W0515",2005,2,2,2005,2004,"W0515_2004","M",1,"WithMother",8.65,"2"
"284","W0517_2011","W0517",2011,2,2,2011,2010,"W0517_2010","F",10,"WithCubs",11.05,"2"
"286","W0601_2006","W0601",2006,2,2,2006,2005,"W0601_2005","M",1,"WithMother",10.02,"2"
"287","W0602_2006","W0602",2006,0,2,2006,2005,"W0602_2005","F",1,"WithMother",15.59,"0"
"289","W0604_2006","W0604",2006,1,2,2006,2005,"W0604_2005","M",1,"WithMother",8.31,"1"
"290","W0605_2006","W0605",2006,1,2,2006,2005,"W0605_2005","F",1,"WithMother",13.15,"1"
"291","W0605_2010","W0605",2010,2,2,2010,2009,"W0605_2009","F",5,"SolitaryF",3.78,"2"
"292","W0605_2011","W0605",2011,2,2,2011,2010,"W0605_2010","F",6,"SolitaryF",5.61,"2"
"293","W0605_2012","W0605",2012,2,2,2012,2011,"W0605_2011","F",7,"SolitaryF",5.2,"2"
"294","W0605_2013","W0605",2013,1,2,2013,2012,"W0605_2012","F",8,"WithCubs",8.18,"1"
"296","W0605_2016","W0605",2016,0,2,2016,2015,"W0605_2015","F",11,"WithCubs",8.27,"0"
"301","W0606_2006","W0606",2006,1,2,2006,2005,"W0606_2005","F",1,"WithMother",12.76,"1"
"305","W0610_2006","W0610",2006,1,2,2006,2005,"W0610_2005","F",1,"WithMother",10.05,"1"
"307","W0610_2009","W0610",2009,1,2,2009,2008,"W0610_2008","F",4,"SolitaryF",16.43,"1"
"308","W0610_2010","W0610",2010,2,2,2010,2009,"W0610_2009","F",5,"SolitaryF",5.52,"2"
"309","W0610_2010","W0610",2010,2,2,2010,2009,"W0610_2009","F",5,"SolitaryF",4.69,"2"
"310","W0610_2010","W0610",2010,1,2,2010,2009,"W0610_2009","F",5,"SolitaryF",5.52,"1"
"311","W0610_2010","W0610",2010,1,2,2010,2009,"W0610_2009","F",5,"SolitaryF",4.69,"1"
"312","W0610_2011","W0610",2011,2,2,2011,2010,"W0610_2010","F",6,"SolitaryF",5.69,"2"
"313","W0610_2012","W0610",2012,1,2,2012,2011,"W0610_2011","F",7,"SolitaryF",5.26,"1"
"314","W0610_2013","W0610",2013,1,2,2013,2012,"W0610_2012","F",8,"SolitaryF",9.85,"1"
"316","W0611_2006","W0611",2006,1,2,2006,2005,"W0611_2005","F",1,"WithMother",10.22,"1"
"317","W0611_2009","W0611",2009,2,2,2009,2008,"W0611_2008","F",4,"SolitaryF",8.32,"2"
"318","W0611_2010","W0611",2010,2,2,2010,2009,"W0611_2009","F",5,"SolitaryF",5.19,"2"
"319","W0611_2011","W0611",2011,2,2,2011,2010,"W0611_2010","F",6,"SolitaryF",5.83,"2"
"320","W0611_2012","W0611",2012,1,2,2012,2011,"W0611_2011","F",7,"SolitaryF",6.74,"1"
"321","W0611_2013","W0611",2013,1,2,2013,2012,"W0611_2012","F",8,"SolitaryF",13.91,"1"
"322","W0612_2006","W0612",2006,1,1,2006,2005,"W0612_2005","M",1,"WithMother",3.9,"1"
"324","W0612_2009","W0612",2009,1,2,2009,2008,"W0612_2008","M",4,"SolitaryM",9.03,"1"
