,X,bearyear.sampled,Bear.ID,Year,Follicles,Cortisol.kit,year.sampled,year.represent,bearyear.represent,sex,age,Repro,HCC,fFOL,Zcort,Zage
3,13,W0006_2000,W0006,2000,1,1,2000,1999,W0006_1999,M,1,Offspring accompanying mother,5.14,1,-0.356429884,-0.875026006
4,14,W0007_2000,W0007,2000,1,1,2000,1999,W0007_1999,M,1,Offspring accompanying mother,4.35,1,-0.578951217,-0.875026006
5,15,W0008_2000,W0008,2000,2,1,2000,1999,W0008_1999,F,1,Offspring accompanying mother,4.16,2,-0.632469006,-0.875026006
6,16,W0009_2000,W0009,2000,2,1,2000,1999,W0009_1999,M,1,Offspring accompanying mother,3.52,2,-0.812739453,-0.875026006
7,17,W0010_2000,W0010,2000,2,1,2000,1999,W0010_1999,F,1,Offspring accompanying mother,4.14,2,-0.638102458,-0.875026006
8,18,W0010_2002,W0010,2002,2,1,2002,2001,W0010_2001,F,3,Solitary female,4,2,-0.677536618,-0.479062889
9,19,W0010_2003,W0010,2003,1,1,2003,2002,W0010_2002,F,4,Solitary female,2.52,1,-1.094412026,-0.28108133
10,20,W0010_2006,W0010,2006,2,2,2006,2005,W0010_2005,F,7,Female with dependent offspring,8.1,2,0.477320932,0.312863347
11,22,W0011_2000,W0011,2000,1,1,2000,1999,W0011_1999,M,1,Offspring accompanying mother,3.52,1,-0.812739453,-0.875026006
12,23,W0012_2000,W0012,2000,2,1,2000,1999,W0012_1999,M,9,Solitary male,3.79,2,-0.736687858,0.708826465
14,30,W0013_2000,W0013,2000,2,1,2000,1999,W0013_1999,M,5,Solitary male,2.54,2,-1.088778574,-0.083099771
18,37,W0014_2000,W0014,2000,1,1,2000,1999,W0014_1999,M,1,Offspring accompanying mother,3.19,1,-0.905691402,-0.875026006
19,39,W0015_2000,W0015,2000,1,1,2000,1999,W0015_1999,F,1,Offspring accompanying mother,3.43,1,-0.838089984,-0.875026006
20,42,W0016_2000,W0016,2000,2,1,2000,1999,W0016_1999,M,6,Solitary male,2.81,2,-1.01272698,0.114881788
21,43,W0017_2000,W0017,2000,1,1,2000,1999,W0017_1999,M,1,Offspring accompanying mother,3.52,1,-0.812739453,-0.875026006
